PLATE_NO,ROLLING_DATE,SCALE,SPEC,STEEL_KIND,PT_THICK,PT_WIDTH,PT_LENGTH,PT_WEIGHT,FUR_NO,FUR_NO_ROW,FUR_HZ_TEMP,FUR_HZ_TIME,FUR_SZ_TEMP,FUR_SZ_TIME,FUR_TIME,FUR_EXTEMP,ROLLING_TEMP_T5,HSB,ROLLING_DESCALING,WORK_GR
PB562774,2021-08-01:08:00:01,양품,AB/EH32-TM,T1,32.25,3707,15109,14180,1호기,1열,1144,116,1133,59,282,1125,934,적용,8,2조
PB562775,2021-08-01:08:07:11,양품,AB/EH32-TM,T1,32.25,3707,15109,14180,1호기,2열,1144,122,1135,53,283,1120,937,적용,8,2조
PB562776,2021-08-01:08:14:21,양품,NV-E36-TM,T8,33.27,3619,19181,18130,2호기,1열,1129,116,1121,55,282,1106,889,적용,8,3조
PB562777,2021-08-01:08:21:31,양품,NV-E36-TM,T8,33.27,3619,19181,18130,2호기,2열,1152,125,1127,68,316,1113,885,적용,8,3조
PB562778,2021-08-01:08:28:41,양품,BV-EH36-TM,T8,38.33,3098,13334,12430,3호기,1열,1140,134,1128,48,314,1118,873,적용,8,1조
PB562779,2021-08-01:08:35:51,양품,BV-EH36-TM,T8,38.33,3098,13334,12430,3호기,2열,1143,127,1128,57,314,1120,874,적용,8,4조
PB562780,2021-08-01:08:43:01,양품,BV-EH36-TM,T8,38.33,3099,16719,15590,1호기,1열,1138,126,1130,50,289,1118,878,적용,8,2조
PB562781,2021-08-01:08:50:11,양품,BV-EH36-TM,T8,38.33,3099,16719,15590,1호기,2열,1139,126,1131,52,294,1119,870,적용,8,4조
PB562782,2021-08-01:08:57:21,양품,BV-EH36-TM,T8,38.33,3099,16719,15590,2호기,1열,1127,126,1122,52,293,1112,873,적용,8,1조
PB562783,2021-08-01:09:04:31,양품,COMMON,T8,38.43,3129,16187,15280,2호기,2열,1135,119,1124,73,298,1110,881,적용,8,4조
PB562784,2021-08-01:09:11:41,양품,COMMON,T8,38.43,3129,16187,15280,3호기,1열,1127,134,1123,58,297,1116,869,적용,8,2조
PB562785,2021-08-01:09:18:51,불량,COMMON,T8,38.43,3129,16187,30560,3호기,2열,1131,120,1125,68,299,1115,1057,적용,8,2조
PB562786,2021-08-01:09:26:01,양품,COMMON,T8,38.43,3129,16187,15280,1호기,1열,1132,125,1127,62,290,1120,820,적용,8,3조
PB562787,2021-08-01:09:33:11,양품,COMMON,T0,30.23,1940,34797,16020,1호기,2열,1119,130,1120,65,324,1112,926,적용,8,4조
PB562788,2021-08-01:09:40:21,양품,GL-E32-TM,T1,34.28,2207,30543,18140,2호기,1열,1119,126,1119,72,311,1110,931,적용,8,3조
PB562789,2021-08-01:09:47:31,불량,GL-E32-TM,T1,50.46,2185,21767,37680,3호기,1열,1127,127,1123,71,312,1109,929,적용,5,2조
PB562790,2021-08-01:09:54:41,양품,GL-E32-TM,T1,50.46,2200,21756,37920,2호기,2열,1134,127,1124,92,329,1113,929,적용,6,2조
PB562791,2021-08-01:10:01:51,양품,GL-E32-TM,T1,50.46,2200,21756,37920,3호기,2열,1124,117,1124,87,315,1119,929,적용,6,3조
PB562792,2021-08-01:10:09:01,양품,GL-E32-TM,T1,50.46,2200,21756,37920,1호기,1열,1129,122,1125,78,313,1120,925,적용,6,2조
PB562793,2021-08-01:10:16:11,양품,GL-E32-TM,T1,50.46,2200,21756,37920,2호기,2열,1124,54,1127,78,312,1112,928,적용,6,2조
PB562794,2021-08-01:10:23:21,양품,BV-EH36-TM,T8,50.46,2000,24500,38820,1호기,2열,1110,123,1116,81,334,1105,860,적용,6,1조
PB562795,2021-08-01:10:30:31,양품,GL-E36-TM,T8,44.39,2040,27501,39100,2호기,1열,1114,64,1120,82,335,1113,836,적용,6,4조
PB562796,2021-08-01:10:37:41,양품,GL-E36-TM,T8,44.39,2040,27501,39100,3호기,1열,1113,124,1120,82,334,1113,832,적용,6,1조
PB562797,2021-08-01:10:44:51,양품,GL-E36-TM,T8,48.44,2095,24490,39020,3호기,2열,1118,71,1124,86,336,1113,832,적용,6,3조
PB562798,2021-08-01:10:52:01,양품,GL-E36-TM,T8,48.44,2095,24490,39020,1호기,1열,1117,69,1120,88,347,1114,832,적용,6,3조
PB562799,2021-08-01:10:59:11,양품,GL-E36-TM,T8,48.44,2000,25588,38920,1호기,2열,1108,62,1117,97,351,1109,841,적용,6,3조
PB562800,2021-08-01:11:06:21,양품,COMMON,T1,45.4,2150,18453,14140,2호기,1열,1123,62,1123,101,332,1115,933,적용,6,1조
PB562801,2021-08-01:11:13:31,양품,COMMON,T1,45.4,2150,18453,14140,2호기,2열,1132,70,1126,95,344,1117,933,적용,6,1조
PB562802,2021-08-01:11:20:41,양품,COMMON,T1,45.4,2150,18453,14140,3호기,1열,1129,43,1125,109,335,1112,937,적용,6,4조
PB562803,2021-08-01:11:27:51,양품,COMMON,T1,45.4,2090,18419,13720,3호기,2열,1134,70,1127,94,335,1115,930,적용,6,1조
PB562804,2021-08-01:11:35:01,양품,COMMON,T1,45.4,2090,18419,13720,1호기,1열,1124,78,1124,94,335,1118,936,적용,6,1조
PB562805,2021-08-01:11:42:11,양품,COMMON,T1,45.4,2090,18419,13720,1호기,2열,1126,74,1125,92,334,1110,933,적용,6,1조
PB562806,2021-08-01:11:49:21,양품,COMMON,T8,44.9,3125,14008,15430,2호기,1열,1111,61,1123,108,336,1117,838,적용,6,3조
PB562807,2021-08-01:11:56:31,양품,GL-E36-TM,T8,44.39,2495,15677,27260,2호기,2열,1133,75,1127,91,347,1121,837,적용,6,3조
PB562808,2021-08-01:12:03:41,양품,AB/EH36-TM,T8,51.27,3060,12407,15280,3호기,1열,1133,57,1125,103,339,1113,862,적용,6,4조
PB562809,2021-08-01:12:10:51,양품,AB/EH36-TM,T8,51.27,3060,12407,15280,3호기,2열,1127,63,1128,106,337,1122,862,적용,6,4조
PB562810,2021-08-01:12:18:01,양품,AB/EH36-TM,T8,51.27,3060,12407,15280,1호기,1열,1133,70,1126,91,337,1119,861,적용,6,2조
PB562811,2021-08-01:12:25:11,양품,AB/EH36-TM,T8,51.27,3060,12407,15280,1호기,2열,1122,57,1123,105,337,1108,862,적용,6,4조
PB562812,2021-08-01:12:32:21,양품,AB/EH36-TM,T8,51.27,3060,12407,15280,2호기,1열,1133,84,1124,81,338,1114,856,적용,6,2조
PB562813,2021-08-01:12:39:31,양품,AB/EH36-TM,T8,51.27,3060,12407,15280,2호기,2열,1133,93,1127,75,330,1118,860,적용,6,3조
PB562814,2021-08-01:12:46:41,양품,GL-E36-TM,T8,55.51,3765,11398,37400,3호기,1열,1126,62,1125,106,340,1113,863,적용,6,3조
PB562815,2021-08-01:12:53:51,양품,GL-E36-TM,T8,55.51,3765,11398,37400,3호기,2열,1132,95,1128,80,341,1123,0,적용,6,1조
PB562816,2021-08-01:13:01:01,양품,BV-EH36-TM,T8,55.5,3302,11017,31700,1호기,1열,1137,89,1131,83,341,1125,864,적용,6,4조
PB562817,2021-08-01:13:08:11,양품,COMMON,T8,55.5,3302,11017,15850,1호기,2열,1127,72,1128,100,339,1118,845,적용,6,3조
PB562818,2021-08-01:13:15:21,양품,KS-HSB600,T5,40,3990,13896,34820,2호기,1열,1112,77,1124,97,359,1109,808,적용,6,1조
PB562819,2021-08-01:13:22:31,양품,NV-E36-TM,T8,60.58,3105,12386,18290,2호기,2열,1125,90,1128,90,345,1116,845,적용,6,4조
PB562820,2021-08-01:13:29:41,양품,COMMON,T8,60.58,2498,11987,14240,3호기,1열,1126,73,1126,107,344,1120,850,적용,6,1조
PB562821,2021-08-01:13:36:51,양품,LR-EH36-TM,T8,64.489,3505,7969,14140,3호기,2열,1135,106,1130,84,358,1121,852,적용,6,1조
PB562822,2021-08-01:13:44:01,양품,COMMON,T8,60.58,2498,11987,14240,1호기,1열,1139,101,1128,82,352,1120,845,적용,6,3조
PB562823,2021-08-01:13:51:11,양품,COMMON,T8,60.63,2498,11977,14240,1호기,2열,1129,84,1128,98,346,1113,845,적용,6,4조
PB562824,2021-08-01:13:58:21,양품,LR-EH36-TM,T8,64.489,3505,7969,14140,2호기,1열,1131,106,1125,76,345,1110,847,적용,6,2조
PB562825,2021-08-01:14:05:31,양품,COMMON,T8,60.58,2498,11987,14240,2호기,2열,1137,116,1129,71,345,1121,849,적용,6,4조
PB562826,2021-08-01:14:12:41,양품,AB/EH36-TM,T8,64.12,3110,10387,16260,3호기,1열,1130,84,1129,101,345,1114,845,적용,6,4조
PB562827,2021-08-01:14:19:51,양품,AB/EH36-TM,T8,64.12,3110,10387,16260,3호기,2열,1140,114,1132,74,357,1123,844,적용,6,2조
PB562828,2021-08-01:14:27:01,양품,BV-EH36-TM,T8,60.57,2085,16583,32880,1호기,1열,1141,113,1133,73,332,1119,852,적용,6,1조
PB562829,2021-08-01:14:34:11,양품,NV-E36-TM,T8,65.64,3195,11832,19480,1호기,2열,1142,121,1135,75,346,1128,853,적용,6,1조
PB562830,2021-08-01:14:41:21,양품,BV-EH36-TM,T8,67.65,3303,11020,38660,2호기,1열,1137,110,1128,75,341,1116,851,적용,6,2조
PB562831,2021-08-01:14:48:31,양품,BV-EH36-TM,T8,67.65,3303,11020,38660,2호기,2열,1134,111,1129,72,343,1121,850,적용,6,4조
PB562832,2021-08-01:14:55:41,양품,COMMON,T8,65.69,2498,11978,15430,3호기,1열,1138,99,1129,86,352,1117,847,적용,6,2조
PB562833,2021-08-01:15:02:51,양품,COMMON,T8,65.64,2498,11987,15430,3호기,2열,1137,109,1132,73,352,1127,849,적용,6,1조
PB562834,2021-08-01:15:10:01,불량,COMMON,T8,65.69,2498,11978,15430,1호기,1열,1142,110,1134,73,343,1123,851,적용,5,4조
PB562835,2021-08-01:15:17:11,양품,COMMON,T8,65.64,2498,11987,15430,1호기,2열,1144,110,1136,72,346,1121,847,적용,6,3조
PB562836,2021-08-01:15:24:21,양품,COMMON,T8,65.64,2498,11987,15430,2호기,1열,1137,98,1129,73,344,1119,847,적용,6,2조
PB562837,2021-08-01:15:31:31,양품,COMMON,T8,65.64,2498,11987,15430,2호기,2열,1135,101,1130,73,352,1117,844,적용,6,1조
PB562838,2021-08-01:15:38:41,양품,BV-EH36-TM,T8,70.7,2745,11014,16780,3호기,1열,1142,109,1130,73,356,1120,840,적용,6,2조
PB562839,2021-08-01:15:45:51,양품,BV-EH36-TM,T8,70.7,2745,11014,16780,3호기,2열,1145,109,1134,69,350,1120,846,적용,6,1조
PB562840,2021-08-01:15:53:01,양품,BV-EH36-TM,T8,73.71,2725,11009,17360,1호기,1열,1144,112,1134,67,341,1121,844,적용,6,1조
PB562841,2021-08-01:16:00:11,양품,BV-EH36-TM,T8,73.71,2725,11009,17360,1호기,2열,1147,122,1138,51,352,1126,846,적용,6,1조
PB562842,2021-08-01:16:07:21,양품,BV-EH36-TM,T8,73.71,2725,11009,17360,2호기,1열,1136,115,1126,55,288,1119,844,적용,6,3조
PB562843,2021-08-01:16:14:31,양품,BV-EH36-TM,T8,73.71,2725,11009,17360,2호기,2열,1138,110,1130,56,344,1115,849,적용,6,3조
PB562844,2021-08-01:16:21:41,양품,BV-EH36-TM,T8,73.71,2725,11009,17360,3호기,1열,1139,107,1129,67,346,1119,834,적용,6,2조
PB562845,2021-08-01:16:28:51,불량,BV-EH36-TM,T8,73.71,2725,11009,17360,3호기,2열,1142,93,1134,61,355,1126,847,미적용,6,1조
PB562846,2021-08-01:16:36:01,양품,NV-E36-TM,T8,70.6,2265,12913,16210,1호기,1열,1129,91,1126,61,296,1121,842,적용,6,3조
PB562847,2021-08-01:16:43:11,양품,COMMON,T8,73.71,2725,9785,15430,1호기,2열,1123,106,1124,62,310,1117,845,적용,6,4조
PB562848,2021-08-01:16:50:21,양품,COMMON,T8,73.71,2725,9754,15380,2호기,2열,1113,96,1122,68,310,1109,773,적용,6,3조
PB562849,2021-08-01:16:57:31,양품,GL-E36-TM,T8,75.71,2500,14126,41980,2호기,1열,1133,94,1125,76,304,1119,859,적용,6,4조
PB562850,2021-08-01:17:04:41,양품,GL-E36-TM,T8,75.71,2500,14093,41880,3호기,1열,1126,103,1125,61,275,1116,843,적용,6,4조
PB562851,2021-08-01:17:11:51,양품,COMMON,T8,75.71,2725,9749,15790,3호기,2열,1123,79,1126,61,291,1116,760,적용,6,1조
PB562852,2021-08-01:17:19:01,양품,GL-E36-TM,T8,75.71,2505,9249,13770,1호기,1열,1132,79,1127,83,319,1116,842,적용,6,2조
PB562853,2021-08-01:17:26:11,불량,GL-E36-TM,T8,75.71,2505,9249,13770,1호기,2열,1142,82,1131,69,314,1125,847,미적용,6,4조
PB562854,2021-08-01:17:33:21,양품,GL-E36-TM,T8,75.71,2500,9018,13400,2호기,1열,1132,78,1124,85,316,1112,843,적용,6,1조
PB562855,2021-08-01:17:40:31,양품,GL-E36-TM,T8,75.71,2500,9018,13400,2호기,2열,1131,77,1125,95,325,1113,844,적용,6,4조
PB562856,2021-08-01:17:47:41,양품,GL-E36-TM,T8,75.71,2500,9267,13770,3호기,1열,1132,77,1124,101,323,1116,843,적용,6,4조
PB562857,2021-08-01:17:54:51,양품,GL-E36-TM,T8,75.71,2500,9584,14240,3호기,2열,1131,80,1126,98,331,1113,843,적용,6,1조
PB562858,2021-08-01:18:02:01,양품,AB/EH36-TM,T8,75.81,2498,9538,14180,1호기,1열,1130,79,1125,98,321,1114,840,적용,6,2조
PB562859,2021-08-01:18:09:11,불량,AB/EH36-TM,T8,83.32,2560,10409,17430,1호기,2열,1124,77,1124,99,342,1112,846,미적용,6,2조
PB562860,2021-08-01:18:16:21,양품,AB/EH36-TM,T8,83.32,2560,10409,17430,2호기,1열,1116,77,1122,100,342,1107,839,적용,6,3조
PB562861,2021-08-01:18:23:31,양품,AB/EH36-TM,T8,89.63,2560,10381,18700,2호기,2열,1130,78,1125,100,332,1117,843,적용,6,1조
PB562862,2021-08-01:18:30:41,양품,AB/EH36-TM,T8,89.63,2560,10381,18700,3호기,1열,1129,87,1123,104,332,1112,844,적용,6,3조
PB562863,2021-08-01:18:37:51,양품,AB/EH36-TM,T8,89.63,2560,10381,18700,3호기,2열,1129,78,1126,100,338,1117,841,적용,6,3조
PB562864,2021-08-01:18:45:01,양품,BV-B,C0,20.13,3575,39279,66570,3호기,1열,1129,76,1126,118,336,1113,934,적용,8,1조
PB562865,2021-08-01:18:52:11,양품,BV-B,C0,20.13,3575,39545,67020,3호기,2열,1140,68,1132,104,348,1118,911,적용,8,4조
PB562866,2021-08-01:18:59:21,양품,LR-B,C0,17.1,3370,39613,35840,2호기,2열,1130,71,1130,112,348,1121,935,적용,10,1조
PB562867,2021-08-01:19:06:31,양품,JS-SM490YB,C0,14.09,3284,51234,93050,1호기,1열,1140,80,1131,117,352,1116,915,적용,10,2조
PB562868,2021-08-01:19:13:41,양품,JS-SM490YB,C0,14.09,3284,51234,93050,1호기,2열,1142,74,1132,123,353,1127,923,적용,10,4조
PB562869,2021-08-01:19:20:51,양품,JS-SM490YB,C0,14.09,3284,51234,93050,2호기,1열,1142,75,1131,122,353,1125,913,적용,10,1조
PB562870,2021-08-01:19:28:01,양품,BV-B,C0,20.43,3431,41254,68100,3호기,1열,1134,69,1132,119,343,1117,977,적용,8,1조
PB562871,2021-08-01:19:35:11,양품,BV-B,C0,20.43,3431,40327,66570,3호기,2열,1135,68,1142,103,342,1127,985,적용,8,3조
PB562872,2021-08-01:19:42:21,양품,JS-SM490YB,C0,14.09,3284,51234,93050,1호기,1열,1143,65,1136,118,354,1123,955,적용,10,3조
PB562873,2021-08-01:19:49:31,양품,JS-SM490YB,C0,14.09,3284,49142,89250,1호기,2열,1140,65,1136,119,355,1122,955,적용,10,3조
PB562874,2021-08-01:19:56:41,양품,JS-SM490YB,C0,14.09,3284,51234,93050,2호기,1열,1147,83,1141,108,360,1129,950,적용,10,4조
PB562875,2021-08-01:20:03:51,양품,JS-SM490YB,C0,14.09,3284,49142,89250,2호기,2열,1136,72,1145,117,360,1139,952,적용,10,3조
PB562876,2021-08-01:20:11:01,양품,JS-SM490YB,C0,14.09,3284,49142,89250,1호기,1열,1131,70,1141,120,352,1133,956,적용,10,4조
PB562877,2021-08-01:20:18:11,양품,JS-SM490YB,C0,14.09,3284,49142,89250,1호기,2열,1133,69,1143,123,359,1133,920,적용,10,1조
PB562878,2021-08-01:20:25:21,양품,JS-SM490YB,C0,14.09,3284,44874,81500,2호기,2열,1145,114,1150,78,348,1142,959,적용,10,1조
PB562879,2021-08-01:20:32:31,양품,JS-SM490YB,C0,14.09,3284,49142,89250,2호기,1열,1140,101,1151,95,352,1139,918,적용,10,4조
PB562880,2021-08-01:20:39:41,양품,JS-SM490YB,C0,14.09,3094,41815,71550,3호기,1열,1129,65,1148,131,363,1136,930,적용,10,3조
PB562881,2021-08-01:20:46:51,불량,JS-SM490YB,C0,14.09,3094,41815,85860,3호기,2열,1151,104,1155,75,349,1140,930,적용,9,4조
PB562882,2021-08-01:20:54:01,양품,JS-SM490YB,C0,14.09,3094,41815,71550,1호기,1열,1154,121,1156,72,360,1143,944,적용,10,4조
PB562883,2021-08-01:21:01:11,양품,JS-SM490YB,C0,14.09,3094,41815,71550,1호기,2열,1144,88,1154,107,362,1142,930,적용,10,2조
PB562884,2021-08-01:21:08:21,양품,JS-SM490YB,C0,16.09,3094,39637,77450,2호기,2열,1144,118,1157,72,343,1149,976,적용,10,3조
PB562885,2021-08-01:21:15:31,양품,JS-SM490YB,C0,16.09,2813,49732,70680,2호기,1열,1151,117,1158,80,366,1150,956,적용,10,2조
PB562886,2021-08-01:21:22:41,불량,KR-B,C0,15.59,3105,54290,82520,3호기,1열,1148,103,1153,91,356,1144,937,미적용,10,2조
PB562887,2021-08-01:21:29:51,양품,JS-SM490YB,C0,18.1,3094,41786,91850,3호기,2열,1150,118,1158,73,345,1147,950,적용,10,4조
PB562888,2021-08-01:21:37:01,불량,JS-SM490YB,C0,18.1,3094,41786,91850,1호기,1열,1158,130,1162,54,345,1155,1004,적용,10,2조
PB562889,2021-08-01:21:44:11,양품,JS-SM490YB,C0,18.1,3094,41786,91850,1호기,2열,1159,132,1164,54,358,1155,961,적용,10,3조
PB562890,2021-08-01:21:51:21,양품,JS-SM490YB,C0,18.1,3094,41786,91850,2호기,1열,1146,108,1163,88,351,1148,996,적용,10,2조
PB562891,2021-08-01:21:58:31,불량,JS-SM490YB,C0,18.1,3094,41786,91850,2호기,2열,1144,128,1159,65,332,1151,995,적용,9,4조
PB562892,2021-08-01:22:05:41,양품,JS-SM490YB,C0,18.1,3094,41786,91850,3호기,1열,1141,106,1156,87,356,1151,953,적용,10,1조
PB562893,2021-08-01:22:12:51,양품,LR-A,C0,17.4,2886,43100,33980,3호기,2열,1134,119,1158,72,352,1152,956,적용,10,4조
PB562894,2021-08-01:22:20:01,양품,JS-SM490YB,C0,20.1,3094,39288,95900,1호기,1열,1167,131,1165,55,333,1151,992,적용,8,2조
PB562895,2021-08-01:22:27:11,양품,JS-SM490YB,C0,20.1,3094,39288,115080,1호기,2열,1169,136,1167,56,350,1158,988,적용,8,4조
PB562896,2021-08-01:22:34:21,양품,JS-SM490A,C0,21.11,3034,43220,86920,3호기,1열,1135,120,1157,67,345,1149,982,적용,8,3조
PB562897,2021-08-01:22:41:31,양품,KS-SM400B,C0,14.06,2654,53904,78950,2호기,1열,1165,135,1164,61,351,1157,967,적용,10,2조
PB562898,2021-08-01:22:48:41,양품,JS-SM490YB,C0,15.09,2472,43234,50640,2호기,2열,1143,118,1162,79,347,1154,975,적용,10,2조
PB562899,2021-08-01:22:55:51,불량,JS-SM490YB,C0,16.09,2552,36794,47440,3호기,2열,1155,119,1166,72,330,1153,1008,적용,10,3조
PB562900,2021-08-01:23:03:01,불량,JS-SM490YB,C0,16.09,2512,37380,35580,1호기,1열,1172,130,1166,62,329,1151,1018,적용,10,4조
PB562901,2021-08-01:23:10:11,불량,JS-SM490YB,C0,16.09,2561,42940,55560,1호기,2열,1170,129,1167,64,345,1161,1006,적용,10,3조
PB562902,2021-08-01:23:17:21,양품,BV-B,C0,15.38,2580,42376,13200,2호기,1열,1165,113,1164,71,346,1150,999,적용,10,1조
PB562903,2021-08-01:23:24:31,불량,BV-B,C0,16.6,2476,42678,55080,2호기,2열,1163,121,1163,70,339,1158,1005,적용,10,3조
PB562904,2021-08-01:23:31:41,불량,BV-B,C0,18.11,2477,43959,77400,3호기,1열,1162,134,1162,62,317,1150,1008,적용,9,1조
PB562905,2021-08-01:23:38:51,불량,JS-SM400B,C0,18.1,2520,42675,61120,3호기,2열,1167,130,1166,63,319,1161,1012,적용,10,3조
PB562906,2021-08-01:23:46:01,불량,BV-B,C0,18.62,2761,42867,69200,1호기,1열,1171,111,1165,60,317,1160,1002,적용,10,1조
PB562907,2021-08-01:23:53:11,불량,AB/B,C0,19.13,2440,39981,73250,1호기,2열,1171,110,1167,61,317,1160,1023,적용,10,4조
PB562908,2021-08-02:00:00:21,불량,JS-SM490YB,C0,20.1,2569,48945,99200,3호기,1열,1171,92,1166,56,311,1161,1015,적용,8,4조
PB562909,2021-08-02:00:07:31,불량,KS-SS400,C0,20.1,2469,41070,80000,2호기,1열,1166,114,1165,60,353,1151,1021,적용,8,2조
PB562910,2021-08-02:00:14:41,불량,KS-SS400,C0,20.1,2664,45986,57990,2호기,2열,1159,95,1165,65,318,1157,1011,적용,8,1조
PB562911,2021-08-02:00:21:51,불량,JS-SM490YB,C0,20.1,2433,42694,65560,3호기,2열,1172,80,1169,72,328,1159,1013,적용,8,3조
PB562912,2021-08-02:00:29:01,불량,JS-SM490YB,C0,20.1,2569,48822,98950,1호기,2열,1162,111,1164,69,316,1150,1019,적용,8,2조
PB562913,2021-08-02:00:36:11,불량,JS-SM490YB,C0,20.1,2554,48761,98250,1호기,1열,1169,76,1166,74,330,1160,1006,적용,8,2조
PB562914,2021-08-02:00:43:21,불량,JS-SM490YB,C0,20.1,2569,44751,90700,2호기,1열,1176,94,1170,59,319,1158,1026,적용,8,1조
